compound name,smiles,[-CH3],[-CH2-],[>CH-],[>C<],(-CH2-)R,(>CH-)R,(>C<)R,[=CH2],[=CH-],[=C<],(=CH-)R,(=C<)R,aCHa,saCa,aaCa,[-OH](alcohol),[-OH](phenol),[-O-],(-O-)R,[>C=O],(>C=O)R,[-CHO],[-COO-],[-COOH],FP,MW
"Naphtho(1,2,3,4-def)chrysene",c1ccc2c(c1)cc1c3ccccc3c3cccc4ccc2c1c43,0,0,0,0,0,0,0,0,0,0,0,0,60.2649,0,39.7351,0,0,0,0,0,0,0,0,0,555.15,302
"2,7-dimethylnaphthalene",Cc1ccc2ccc(C)cc2c1,19.2308,0,0,0,0,0,0,0,0,0,0,0,50,15.3846,15.3846,0,0,0,0,0,0,0,0,0,383.65,156
"1,2,3,4,5,6,7,8-octahydroanthracene",c1c2c(cc3c1CCCC3)CCCC2,0,0,0,0,60.2151,0,0,0,0,0,0,0,13.9785,25.8065,0,0,0,0,0,0,0,0,0,0,409.55,186
4H-Cyclopenta(def)chrysene,c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C1,0,0,0,0,5.8333,0,0,0,0,0,0,0,54.1667,10,30,0,0,0,0,0,0,0,0,0,502.65,240
tetradecylcyclohexane,CCCCCCCCCCCCCCC1CCCCC1,5.3571,65,0,0,25,4.6429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.85,280
1-ethenyl-4-ethylbenzene,C=Cc1ccc(CC)cc1,11.3636,10.6061,0,0,0,0,0,10.6061,9.8485,0,0,0,39.3939,18.1818,0,0,0,0,0,0,0,0,0,0,335.25,132
"6-ethyl-1,2,3,4-tetrahydronaphthalene",CCc1ccc2c(c1)CCCC2,9.375,8.75,0,0,35,0,0,0,0,0,0,0,24.375,22.5,0,0,0,0,0,0,0,0,0,0,376.35,160
"9H-Fluorene, 9-methyl- (9CI)",CC1c2ccccc2-c2ccccc21,8.3333,0,0,0,0,7.2222,0,0,0,0,0,0,57.7778,26.6667,0,0,0,0,0,0,0,0,0,0,410.65,180
"1,1,2-trimethylcyclopentane",CC1CCCC1(C)C,40.1786,0,0,0,37.5,11.6071,10.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.55,112
tetradecylcyclopentane,CCCCCCCCCCCCCCC1CCCC1,5.6391,68.4211,0,0,21.0526,4.8872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.25,266
tetradecylbenzene,CCCCCCCCCCCCCCc1ccccc1,5.4745,66.4234,0,0,0,0,0,0,0,0,0,0,23.7226,4.3796,0,0,0,0,0,0,0,0,0,0,433.55,274
"1,5-dimethylnaphthalene",Cc1cccc2c(C)cccc12,19.2308,0,0,0,0,0,0,0,0,0,0,0,50,15.3846,15.3846,0,0,0,0,0,0,0,0,0,384.55,156
icosylbenzene,CCCCCCCCCCCCCCCCCCCCc1ccccc1,4.1899,74.3017,0,0,0,0,0,0,0,0,0,0,18.1564,3.352,0,0,0,0,0,0,0,0,0,0,470.05,358
2pentene-,CC=CCC,42.8571,20,0,0,0,0,0,0,37.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.15,70
"2,6-dimethylnaphthalene",Cc1ccc2cc(C)ccc2c1,19.2308,0,0,0,0,0,0,0,0,0,0,0,50,15.3846,15.3846,0,0,0,0,0,0,0,0,0,383.65,156
Benz(a)aceanthrylene,c1ccc2c(c1)-c1cccc3cc4ccccc4c-2c13,0,0,0,0,0,0,0,0,0,0,0,0,61.9048,19.0476,19.0476,0,0,0,0,0,0,0,0,0,501.75,252
[(E)-1-phenylprop-1-en-2-yl]benzene,C/C(=C\c1ccccc1)c1ccccc1,7.732,0,0,0,0,0,0,0,6.701,6.1856,0,0,67.0103,12.3711,0,0,0,0,0,0,0,0,0,0,397.65,194
"1,2-dimethylnaphthalene",Cc1ccc2ccccc2c1C,19.2308,0,0,0,0,0,0,0,0,0,0,0,50,15.3846,15.3846,0,0,0,0,0,0,0,0,0,387.15,156
"Anthracene, 1-methyl- (8CI)(9CI)",Cc1cccc2cc3ccccc3cc12,7.8125,0,0,0,0,0,0,0,0,0,0,0,60.9375,6.25,25,0,0,0,0,0,0,0,0,0,430.65,192
[(E)-4-phenylbut-3-en-2-yl]benzene,CC(/C=C/c1ccccc1)c1ccccc1,7.2115,0,6.25,0,0,0,0,0,12.5,0,0,0,62.5,11.5385,0,0,0,0,0,0,0,0,0,0,418.35,208
3-methyldecane,CCCCCCCC(C)CC,28.8462,62.8205,8.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.55,156
"Hexane, 1-cyclohexyl- (8CI)",CCCCCCC1CCCCC1,8.9286,41.6667,0,0,41.6667,7.7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.35,168
"Cyclohexane, 1,1,3,5-tetramethyl-, trans-",C[C@H]1C[C@H](C)CC(C)(C)C1,42.8571,0,0,0,30,18.5714,8.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.25,140
"1,2,2-triphenylethenylbenzene",c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,0,0,0,0,0,0,0,0,0,7.2289,0,0,78.3133,14.4578,0,0,0,0,0,0,0,0,0,0,479.35,332
"Naphthalene, 1,2-dihydro-",C1=Cc2ccccc2CC1,0,0,0,0,21.5385,0,0,0,0,0,20,0,40,18.4615,0,0,0,0,0,0,0,0,0,0,343.5,130
2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene,CC1=CCC2(C(C)C)CC12,33.0882,0,9.5588,0,20.5882,9.5588,8.8235,0,0,0,9.5588,8.8235,0,0,0,0,0,0,0,0,0,0,0,0,306.75,136
"Benz(a)anthracene, 7-ethyl-",CCc1c2ccccc2cc2c1ccc1ccccc12,5.8594,5.4688,0,0,0,0,0,0,0,0,0,0,55.8594,4.6875,28.125,0,0,0,0,0,0,0,0,0,496.75,256
"1H-Indene, 3a,4,7,7a-tetrahydro-",C1=CCC2CC=CC2C1,0,0,0,0,35,21.6667,0,0,0,0,43.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,306.95,120
"Benzene, 1-methyl-4-(1,1-dimethylethyl)- (9CI)",Cc1ccc(C(C)(C)C)cc1,40.5405,0,0,8.1081,0,0,0,0,0,0,0,0,35.1351,16.2162,0,0,0,0,0,0,0,0,0,0,327.55,148
1-methyl-2-phenylbenzene,Cc1ccccc1-c1ccccc1,8.9286,0,0,0,0,0,0,0,0,0,0,0,69.6429,21.4286,0,0,0,0,0,0,0,0,0,0,380.15,168
11H-benzo[a]fluorene,c1ccc2c(c1)Cc1c-2ccc2ccccc12,0,0,0,0,6.4815,0,0,0,0,0,0,0,60.1852,22.2222,11.1111,0,0,0,0,0,0,0,0,0,458.55,216
1-methyl-4-propylbenzene,CCCc1ccc(C)cc1,22.3881,20.8955,0,0,0,0,0,0,0,0,0,0,38.806,17.9104,0,0,0,0,0,0,0,0,0,0,329.45,134
